区域,上海,餐饮类型,火锅,店铺id,61998,店铺名称,重庆临江门老火锅（七莘路店）,经度,121.34708,纬度,31.158077
用户,星级,评论时间,评论
匿名用户,4.0,2016-03-31 15:14:08,以前从来不去评1价，都不知道浪费了多少的积分，自从知道大众点评的积分可以抵用现金的时候，才知道积分多么重要。以后就把这句话复制了，走到哪，复制到哪，再也不用担心不知道写生么评论什么。，顺祝：生意兴隆啦。
cymomo,3.0,2016-06-06 16:59:33,地理位置不错  服务也可以  口味一般般啦 蔬菜略微有点小贵
猫奴大人,5.0,2016-06-12 19:04:45,很便宜，味道也好，就是不是特别辣，再辣一点就好了
猫奴大人,5.0,2016-06-12 19:03:55,每次聚会都在这儿吃，好吃，味道很不错哦
一个人旅行05,5.0,2016-05-29 01:09:00,很好吃 不知道来了多少次了 很够味
jhh759644993,4.0,2016-06-07 09:55:36,重油老油火锅 口味非常的重 很好吃 适合我哦
vFi365561638,3.0,2016-06-12 16:19:01,菜都挺好的，辣是真的辣，不过还挺爽的。
王如梦1973,2.0,2016-06-09 15:25:07,不怎么样，味道不正宗，服务也不好，以后不会再去了
付学惠F,3.0,2016-06-08 10:19:17,去过二次了，总的不错，下次再和朋友一起去，挺方便的
娜娜TL,3.0,2016-06-06 07:32:49,菜的味道很不错，环境也很好，服务也不差！还是比较满意的！
yfg477845351,2.0,2016-05-07 14:18:20,一直去的团购菜量越来越少了！说是四人餐我们两个人去的刚好够吃。希望商家不要减少菜品的量如果成本上涨可以适当加价也是可以接受的，看到上来的菜每份一点点像是哄人似的
YAy251833063,4.0,2016-06-02 09:36:22,开在七宝的一家重庆火锅店，味道满正宗好，喜欢！
