区域,北京,餐饮类型,烧烤烤串,店铺id,42081214,店铺名称,韩时烤肉（枫蓝国际购物中心店）,经度,116.356607,纬度,39.952606
rNg536452843,3,环境优雅，肉质很嫩，味道有回味，一家人吃的很尽兴，不错，办了会员卡，下次会再来,,,,,,,,,
匿名用户,5,好吃服务周到 环境好考法有创意,,,,,,,,,
匿名用户,4,第一次吃 味道还好 服务不错！,,,,,,,,,
匿名用户,4,地方不大，人很多，烤肉味道好，但是小贵,,,,,,,,,
周巍a,4,烤肉不错，口味喜好，菜量稍微有点小，服务好,,,,,,,,,
summe·,4,我们木有吃饱，不过挺不错的，适合两个人，朋友多了就不太适合了，我觉得刚刚好，挺不错的，菜品的口味不错，简直太好了，希望下次还会再去，金针菇肥牛卷特别棒，五花肉也不错，下次还会再去，服务态度也不错的哦，,,,,,,,,,
匿名用户,5,很好找，服务态度也超级棒。东西很好吃。小菜不够都可以加的，生菜也是。,,,,,,,,,
Quinna89,4,烤肉炒饭还不错，不用自己烤最赞,,,,,,,,,
匿名用户,5,非常满意，经常会去，服务好，吃得也好，小菜也很好，很喜欢南瓜粥#南瓜粥##韩时五花肉##部队火锅面##蒜香牛舌##韩式泡菜##芝士焗玉米##烤芝士玉米#,,,,,,,,,
剑桥他爸,4,以我的食量难得团购对的上人数的吃饱，菜量较大，服务态度不错，口味不错，推荐之。,,,,,,,,,
匿名用户,4,孩子很爱吃，正好刚考完试，味道不错。,,,,,,,,,
zjw851899706,4,肉类口感还可以，要是能自己烤就更好了,,,,,,,,,
Lolita秦,4,去得有点晚了，服务很到位，服务员给客人烤肉。强烈推荐五花肉，烤的外焦里嫩很好吃。,,,,,,,,,
BMf117858552,5,烤肉很好吃，芝士玉米是最爱，基本人均一盘，推荐！,,,,,,,,,
杨大胖6650,4,还行！吃的部队火锅！估计不会再去了，个人口味不是很喜欢。,,,,,,,,,
匿名用户,5,大家都很喜欢、菜品很好、服务也很棒！就是地方有点小。不过如果小聚比较安静、总体来说很满意,,,,,,,,,
vivian822,3,太吵了，服务还跟不上。不过味道还可以,,,,,,,,,
xoq896303696,4,服务到位，环境不错，口味超级好吃呦！,,,,,,,,,
Iris_赵彩红,5,团购很实惠，对团购的服务也非常好。,,,,,,,,,
宇宙无敌小懒货,5,就是这个味 大酱汤?烤肉 再来份儿紫菜炒饭 还有一碟碟精美的小配菜  就一个字 完美～!（服务员都是小鲜肉小美女哈哈哈哈…）,,,,,,,,,
myzily,5,吃过多次了，菜品新鲜，量很足，两人吃到撑还会剩，三人应该刚好，有服务员帮烤肉，专业快捷，我们只管吃，配菜调料饮水都是可续的，南瓜粥尤其好喝，总之非常好。,,,,,,,,,
LdK690389441,4,味道还可以  美团也很优惠  服务很好,,,,,,,,,
Nji926197992,4,隔一段时间就回来一次的烤肉店，推荐猪五花、牛五花、泡菜炒饭,,,,,,,,,
匿名用户,4,比什么山好吃，当然价格也贵一点点,,,,,,,,,
夏日里的夕阳西下,5,菜品还是不错的，服务也很好，环境比较适合小聚，温馨的呢,,,,,,,,,
Spd902142561,5,味道不错态度也很好强烈推荐量也很大三个人吃的没吃完又打包的,,,,,,,,,
杨大胖6650,3,还不错！！就是烤肉呗！个人口味不太喜欢吃韩式！,,,,,,,,,
Panstark,3,这次还不错，一般般，还是可以的,,,,,,,,,
Mumu啦啦啦,5,非常好吃、三个人吃的2-3人餐，饱饱的。服务态度也很好，所有肉和炒饭都是服务员弄的，不用我们动手。用生菜包肉包泡菜后的味道棒棒的～喜欢韩国味道的一定要去尝尝哦！餐具和小菜配色很好看，有点小清新的感觉～赞赞赞#极品五花肉# #金针菇肥牛卷# #烤牛肉片#,,,,,,,,,
Hnb228141098,1,因为是团购，无人理睬，把肉放在铁板上人就去别的台热情服务了！直到我这里的肉开始四处溅油才要了夹子自己翻烤！直到这份猪肉吃完，铁板冒起浓重的烟都没有人理睬！如果100分满分，如果食物、服务各占一半我只给35！补充说明；1店内始终没有客满2邻座不团购有时会两个人一起服务!这种地方无论别人来不来我是不再来！好吃的店铺有的是！何况你家味道平平！,,,,,,,,,
samyzt_腾,5,c区服务员小哥态度非常好，烤肉的技术也不错，好评,,,,,,,,,
匿名用户,4,五花肉推荐，厚厚的，烤得正好不油腻，很香！比汉拿山类的强！,,,,,,,,,
京妮兒,5,非常非常好。经常来吃 服务特别好,,,,,,,,,
fNY156814646,3,挺好吃  要的套餐  最后两个人没吃完  米饭也没上  酱汤带白饭,,,,,,,,,
匿名用户,5,五花肉肥而不腻，牛肉鲜嫩，服务非常周到,,,,,,,,,
匿名用户,5,值得这个价格 值了 好吃 一直是老顾客了,,,,,,,,,
匿名用户,4,2人吃合适，最后炒饭没吃，三人吃稍微少点,,,,,,,,,
疯玩不累,2,第一次吃这种韩式烤肉，还真不太习惯，以前老是吃自助烤肉，所以来这也是上菜就想自己烤，囧。不过真的好贵，一点也不实惠，也不是太好吃,,,,,,,,,
WGB48445879,4,#大麦茶##雪花牛肉##调味五花肉##精品五花肉##鲜榨果汁#很好吃，肉很新鲜，服务员会帮忙烤肉,,,,,,,,,
APE475412905,5,挺好的，很干净，服务周到，就是没吃完，砸金蛋砸出的奖券只能在固定店使用,,,,,,,,,
匿名用户,3,好评 跟好朋友一起去吃的。吃得挺饱的,,,,,,,,,
OZR779578439,4,味道不错，课题组聚餐团的，人多的时候服务员忙不过来,,,,,,,,,
匿名用户,5,吃的不错，没吃完，同时撑死宝宝了！！！,,,,,,,,,
小诸葛就是我,5,烤肉很不错，强烈推荐，带朋友去的，很好,,,,,,,,,
独游,5,真的很棒，强烈推荐，非常推荐！！！！！！！！！！！！！！！！！！,,,,,,,,,
月亮女神915,5,一次美好的晚餐。我们是在枫蓝国际店用的餐，环境干净明亮，让人感到很舒适。服务员态度非常好，一边帮我们烤肉，一边告诉我们怎么吃最好吃。时不时过来关顾我们一下，让人很温馨。这里的五花肉、牛肉都非常的棒。五花肉烤的焦焦的，好吃。牛肉烤的嫩嫩的，好吃。当场我就向店里的经理表扬了这名服务员，并且还办了会员卡。下次还来。,,,,,,,,,
bpg652465987,5,菜品很丰富，四个人去的，吃得很饱。还办了张卡，打算常去啦,,,,,,,,,
yy74110,5,味道棒棒哒，超级好，虽然排位等了快一个小时，吃起来就觉得值了！,,,,,,,,,
Sinne0828,3,味道很好，服务也ok。只是环境太嘈杂！,,,,,,,,,
zuiaimao,3,去很多次了。主要是服务好。等位有点久，送了炒年糕,,,,,,,,,
匿名用户,4,虽然在商场里，但是环境不错，服务也非常的周到，味道也还不错,,,,,,,,,
aus951262624,4,味道不错，有服务员专门帮助烤肉，但感觉量有点少,,,,,,,,,
EzX964585479,3,不错不错不错不错不错不错不错不错,,,,,,,,,
systemroot,3,中午去的，没排队，菜上的挺快，送的小菜很多，其中南瓜粥不错，强烈推荐一下调味五花，十分好，烤肉都是服务人员进行，不用自己动手，结账用手机，还有优惠。,,,,,,,,,
匿名用户,3,团购2到3人餐量不是很大，味道一般，好处是不用自己动手，服务员帮忙烤肉，不用排队，位置比较好找。,,,,,,,,,
AxC291434600,5,3个人团购，吃的饱饱饱得，棒棒哒,,,,,,,,,
zuiaimao,3,这次上小菜十分慢。没有第一次去好。味道一般。本来就是冲着服务去的,,,,,,,,,
～Donatella～,3,服务态度各方面都挺好的，就是有点吃不习惯，不过这是我个人问题啦。,,,,,,,,,
匿名用户,5,朋友推荐的，好吃不错，服务态度好，南瓜粥好喝,,,,,,,,,
进化梦3311,5,巴黎贝甜一直是我比较喜欢的面包品牌，比较喜欢他家的巧克力甜甜圈,,,,,,,,,
进化梦3311,5,巴黎贝甜一直是我比较喜欢的面包品牌，比较喜欢他家的巧克力甜甜圈,,,,,,,,,
gaoxl1977,3,味道不错，几个服务员很不错，就是忙的时候有点忙不过来，另外油烟有点大。,,,,,,,,,
GdI753307275,5,不用多说，想吃肉肉就来这里，非常划算！,,,,,,,,,
陈天宇164,3,环境很一般，但烤肉的味道还是很棒的，下次会再来………………………………………………………………………………,,,,,,,,,
酸柚子000,5,#雪花牛肉# #梅花肉# #猪五花# #韩时五花肉# #极品五花肉# #特级牛五花肉# #鲜榨果汁# #金针菇肥牛卷# #招牌五花肉#  菜的味道特别好 服务态度也很不错 都是服务员帮助考的 只要享受就可以了 推荐他家,,,,,,,,,
qiuxuejun,5,值得体验一下，味道满意。大厅有些杂。背景音乐可以大些。,,,,,,,,,
匿名用户,5,服务态度很好，上菜速度也很快～很棒～,,,,,,,,,
IBE609858671,5,好吃，不错，就在公司楼下，方便，老公喜欢吃,,,,,,,,,
匿名用户,5,169元的套餐吃过好几回了，确实不错。#南瓜粥##鲜五花肉##辣白菜炒饭#,,,,,,,,,
匿名用户,3,肉质一般般，不喜欢套餐里的烤猪肉，跟自家炒肉没啥区别,,,,,,,,,
Susie6Jack,5,不错，南瓜粥超棒，服务态度贴心。,,,,,,,,,
DGH932872278,3,两人带孩子，量合适。去得比较早不用等位。,,,,,,,,,
worangeking,5,特别好，非常棒，我们吃的很开心,,,,,,,,,
匿名用户,5,超级好吃！服务员给烤，不用自己烤，很方便，味道也不错～,,,,,,,,,
lym3192,5,套餐比较划算，服务员全程服务，不用自己烤肉，味道不错，菜品很精致，送的小菜很好吃！,,,,,,,,,
NvR424936037,5,菜品挺好，关键是有人给烤肉，服务也挺好,,,,,,,,,
oFZ120460310,5,#雪花牛肉# #金针菇肥牛卷# #辣白菜炒饭# #南瓜粥# 之前在蓝色港湾吃过韩时，自从枫蓝开了就一直想来吃，今天终于拔草了。味道很好，最喜欢吃肥牛、雪花一号，南瓜粥，还有各种免费的小菜，有藕片、蕨根粉、土豆泥，真的是无限量供应，服务态度也超级棒，手动赞一个,,,,,,,,,
PZZ166622901,5,位置很好找上了二楼就能看见服务态度特别好一次还回去,,,,,,,,,
匿名用户,5,大酱汤味道不如土大力～还需要提高～其它都不错呢～,,,,,,,,,
WarmLvy,4,烤肉很好吃，而且不用自己动手～,,,,,,,,,
匿名用户,4,韩式烤肉的服务态度很好。烤肉什么的会一直帮忙。但是这个套餐里的量真的不太大。包菜只有生菜。没有苏子叶。这个真的很遗憾。小菜很多很丰富。喜欢他的土豆泥。要了好几分呢。 还有南瓜粥也很棒。 如果有石锅拌饭那真的是完美咯。菜单里的价格真心不敢恭维哦。冷风不足。吃着吃着会很热的。要改进咯。,,,,,,,,,
匿名用户,5,很好吃很赞！！！不用自己烤，相比较而言还是店里的特色五花肉最好吃！！！,,,,,,,,,
kuI525201075,4,人很多，各种等位，不过有人给烤肉，还不错～～,,,,,,,,,
sarahliu2010,2,帮人买的。一大一小200多没吃饱。。。,,,,,,,,,
RNe347427858,2,一般，还行吧，牛肉还可以，泡菜也行,,,,,,,,,
月亮女神915,5,菜品、服务一贯的那么好，这回带了几位朋友去吃，大家都觉得这家（枫蓝国际）环境，服务，菜品好。也许是赶上过节，排队等位的人很多，刚一进餐厅，觉得很热，问了服务员，她们说空调都开了，今天的人太多了，烤盘都开着。一会儿人少了，确实凉快了许多。,,,,,,,,,
HuMorous灬,5,服务员服务态度非常好  而且价格实惠,,,,,,,,,
筱馨儿甜甜,4,服务很到位～～～大酱汤很好吃～～要了个双人套餐，吃的好撑，还打包了好多，办会员卡，还免费送了杯饮料，肉烤的挺好吃，服务员全程给烤，最后的炒饭也是，南瓜粥依然免费供应，当然，其他小菜和小料也是，环境也可以。,,,,,,,,,
shadow99sun,4,服务还是非常不错的，免费的泡菜还有南瓜粥也都非常好吃！有一款烤五花肉巨香，宝宝超级爱吃，就是小贵！,,,,,,,,,
匿名用户,5,比较地道的韩餐，都挺好的，准备再去,,,,,,,,,
匿名用户,4,服务还好。口味还不错、不错、不错,,,,,,,,,
liwan0516,5,好吃，服务很到位，经常来吃，也不用等，肉也非常好！,,,,,,,,,
匿名用户,3,鲜五花肉很香，雪花3号口感较嫩的但没什么特别的味道，特级牛五花肉和下火锅的牛肉类似，本人不喜欢。,,,,,,,,,
layla_lee23,5,味道好 服务周到 服务员还帮我们烤肉 技术非常好 下次还来～,,,,,,,,,
CBV680992643,3,环境很好、服务很好、口味就还可以吧、肉都是原味的比较多、我个人比较喜欢吃腌过的肉、俩人吃了380多、,,,,,,,,,
xiaoyan0310,5,服务特别好！不用等位，口味也不错,,,,,,,,,
Tvr907212179,4,肉烤的火候很好，搭配的也很解腻，味道不错~,,,,,,,,,
mt1493334678,3,团购的 分量很足 服务及时 态度好,,,,,,,,,
Gcj53112493,4,还不错，味道也可以，就是服务有点慢,,,,,,,,,
吕小楠May,5,五花肉太好吃了，南瓜粥最爱，服务超级赞，必须好评！,,,,,,,,,
Lq8822362,4,量很足，服务态度很好，三个人能吃得特别饱，#南瓜粥##雪花牛肉##烤五花肉##韩时五花肉##蔬菜沙拉#,,,,,,,,,
UtK169944556,5,服务周到，味道很好，吃得很开心哦,,,,,,,,,
白月苍火,5,已经吃了3次了，很好吃，服务也好。五花肥而不腻，好吃！还会再去,,,,,,,,,
JiaYQ1219,2,不咋样，等位不说，还吃不饱。不推荐。,,,,,,,,,
liuanxiang_0,5,很不错的一家店，环境好，服务也不错，味道也好,,,,,,,,,
匿名用户,4,服务态度挺好的，肉很好吃，还帮忙烤。,,,,,,,,,
mNh197351004,5,服务超级棒！赞赞赞赞赞赞赞赞赞赞，,,,,,,,,,
匿名用户,3,肉有点难嚼，环境不错。服务很好,,,,,,,,,
Zhaoyand,4,口味很好，很不错，相当的满意。,,,,,,,,,
匿名用户,3,没有第一次吃的感觉，那个汤太辣了。,,,,,,,,,
葱葱淙淙C,5,去了没排队，店里人也不多可能去的早。味道很棒，上菜也快！土豆泥我感觉很不错而且是无限量供应啊人家服务员问我门还要么真是害羞啊。团购的套餐比到店的便宜10块钱吧，两个人吃肯定是厚的，三个人反正我们是没吃够…还加点了鸡翅玉米什么和年糕。都还不错。#南瓜汤# #雪花3号# #韩时五花肉# #烤五花# #土豆泥#,,,,,,,,,
fm810465269,5,服务超好，味道也棒棒嗒。强烈推荐！,,,,,,,,,
qianjin_71,4,環境不錯，用餐的人較多，服務員負責燒烤，味道不錯。,,,,,,,,,
匿名用户,4,菜品好吃，服务态度挺好的。点个赞,,,,,,,,,
Ltree1721,4,服务周到细致；菜量有点小，但是挺好吃的；至于好吃的菜嘛，其实大部分烤肉就是吃的爽就好了，我还会去的。,,,,,,,,,
匿名用户,1,团购券和别的优惠不能一起用，差,,,,,,,,,
wushananan,4,还不错 套餐两个人吃足够了 五花肉味道最好,,,,,,,,,
awt573209120,2,大酱汤的味道真一般 没什么味可是服务还好,,,,,,,,,
CYX286986932,2,挺好，就是小料的味道差些，更喜欢汉拿山的小料,,,,,,,,,
Ningyuhan25,4,好吃 啊喜欢猪排和金针菇牛五花,,,,,,,,,
锦州无聊的风筝,3,去晚了需等位。双人餐好丰富，先上了很多小菜，爱吃泡菜，白萝卜。烤肉时服务员会介绍是什么肉，沾什么酱，烤肉的烤盘是斜着放的，这样烤肉的油就不会汪着，烤的每种肉都很香，用生菜卷上沾酱的肉和辣白菜味道真的超棒！大酱汤和南瓜粥味道也是超赞的！以后和同学会经常去,,,,,,,,,
